Tactic Id,Tactic Name
.004,Unix Shell Configuration Modification
.005,Trap
.006,LC_LOAD_DYLIB Addition
.007,Netsh Helper DLL
.008,Accessibility Features
.009,AppCert DLLs
.010,AppInit DLLs
.011,Application Shimming
.012,Image File Execution Options Injection
.013,PowerShell Profile
.014,Emond
.015,Component Object Model Hijacking
T1133,External Remote Services
T1574,Hijack Execution Flow
.001,DLL Search Order Hijacking
.002,DLL Side-Loading
.004,Dylib Hijacking
.005,Executable Installer File Permissions Weakness
.006,Dynamic Linker Hijacking
.007,Path Interception by PATH Environment Variable
.008,Path Interception by Search Order Hijacking
.009,Path Interception by Unquoted Path
.010,Services File Permissions Weakness
.011,Services Registry Permissions Weakness
.012,COR_PROFILER
T1525,Implant Internal Image
T1556,Modify Authentication Process
.001,Domain Controller Authentication
.002,Password Filter DLL
.003,Pluggable Authentication Modules
.004,Network Device Authentication
T1137,Office Application Startup
.001,Office Template Macros
.002,Office Test
.003,Outlook Forms
.004,Outlook Home Page
.005,Outlook Rules
.006,Add-ins
T1542,Pre-OS Boot
.001,System Firmware
.002,Component Firmware
.003,Bootkit
.004,ROMMONkit
.005,TFTP Boot
T1053,Scheduled Task/Job
.001,At (Linux)
.002,At (Windows)
.003,Cron
.004,Launchd
.005,Scheduled Task
.006,Systemd Timers
.007,Container Orchestration Job
T1505,Server Software Component
.001,SQL Stored Procedures
.002,Transport Agent
.003,Web Shell
T1205,Traffic Signaling
.001,Port Knocking
T1078,Valid Accounts
.001,Default Accounts
.002,Domain Accounts
.003,Local Accounts
.004,Cloud Accounts
T1548,Abuse Elevation Control Mechanism
.001,Setuid and Setgid
.002,Bypass User Account Control
.003,Sudo and Sudo Caching
.004,Elevated Execution with Prompt
T1134,Access Token Manipulation
.001,Token Impersonation/Theft
.002,Create Process with Token
.003,Make and Impersonate Token
.004,Parent PID Spoofing
.005,SID-History Injection
T1547,Boot or Logon Autostart Execution
.001,Registry Run Keys / Startup Folder
.002,Authentication Package
.003,Time Providers
.004,Winlogon Helper DLL
.005,Security Support Provider
.006,Kernel Modules and Extensions
.007,Re-opened Applications
.008,LSASS Driver
.009,Shortcut Modification
.010,Port Monitors
.011,Plist Modification
.012,Print Processors
.013,XDG Autostart Entries
.014,Active Setup
T1037,Boot or Logon Initialization Scripts
.001,Logon Script (Windows)
.002,Logon Script (Mac)
.003,Network Logon Script
.004,RC Scripts
.005,Startup Items
T1543,Create or Modify System Process
.001,Launch Agent
.002,Systemd Service
.003,Windows Service
.004,Launch Daemon
T1484,Domain Policy Modification
.001,Group Policy Modification
.002,Domain Trust Modification
T1611,Escape to Host
T1546,Event Triggered Execution
.001,Change Default File Association
.002,Screensaver
.003,Windows Management Instrumentation Event Subscription
.004,Unix Shell Configuration Modification
.005,Trap
.006,LC_LOAD_DYLIB Addition
.007,Netsh Helper DLL
.008,Accessibility Features
.009,AppCert DLLs
.010,AppInit DLLs
.011,Application Shimming
.012,Image File Execution Options Injection
.013,PowerShell Profile
.014,Emond
.015,Component Object Model Hijacking
T1068,Exploitation for Privilege Escalation
T1574,Hijack Execution Flow
.001,DLL Search Order Hijacking
.002,DLL Side-Loading
.004,Dylib Hijacking
.005,Executable Installer File Permissions Weakness
.006,Dynamic Linker Hijacking
.007,Path Interception by PATH Environment Variable
.008,Path Interception by Search Order Hijacking
.009,Path Interception by Unquoted Path
.010,Services File Permissions Weakness
.011,Services Registry Permissions Weakness
.012,COR_PROFILER
T1055,Process Injection
.001,Dynamic-link Library Injection
.002,Portable Executable Injection
.003,Thread Execution Hijacking
.004,Asynchronous Procedure Call
.005,Thread Local Storage
.008,Ptrace System Calls
.009,Proc Memory
.011,Extra Window Memory Injection
.012,Process Hollowing
.013,Process Doppelgänging
.014,VDSO Hijacking
T1053,Scheduled Task/Job
.001,At (Linux)
.002,At (Windows)
.003,Cron
.004,Launchd
.005,Scheduled Task
.006,Systemd Timers
.007,Container Orchestration Job
T1078,Valid Accounts
.001,Default Accounts
.002,Domain Accounts
.003,Local Accounts
.004,Cloud Accounts
